epoch,trial,production,response_time,firing_time,rewarded_time,delivered_reward,passed_time,received_reward,u,utility,at,difficulty,payoff
89,2,P7,0.3,0.464,0.464,7.3106,0.203,7.1076,4.548864,4.1329346,0.2028,5,10
89,3,P7,0.3,0.817,0.817,7.3106,0.203,7.1076,4.548864,4.1329346,0.2028,5,10
90,1,P10,0.47,0.42,0.42,9.8201,0.37,9.4501,6.048064,4.5764647,0.3695,5,10
91,1,P5,0.24,0.186,0.186,2.6894,0.136,2.5534,2.0018656,2.848525,0.1359,5,10
91,2,P5,0.24,0.472,0.472,2.6894,0.136,2.5534,2.0018656,2.848525,0.1359,5,10
91,3,P5,0.24,0.758,0.758,2.6894,0.136,2.5534,2.0018656,2.848525,0.1359,5,10
92,1,P10,0.47,0.42,0.42,9.8201,0.37,9.4501,6.048064,4.4873357,0.3695,5,10
93,1,P2,0.18,0.125,0.125,0.1799,0.075,0.10490000000000001,0.04196,-0.40896875,0.0746,5,10
93,2,P4,0.21,0.386,0.386,1.192,0.111,1.081,0.69184005,-0.3110448,0.1113,5,10
93,3,P4,0.21,0.647,0.647,1.192,0.111,1.081,0.69184005,-0.3110448,0.1113,5,10
94,1,P8,0.35,0.298,0.298,8.808,0.248,8.56,5.4783998,4.773201,0.2477,5,10
94,2,P8,0.35,0.696,0.696,8.808,0.248,8.56,5.4783998,4.773201,0.2477,5,10
95,1,P4,0.21,0.161,0.161,1.192,0.111,1.081,0.69184005,0.9647877,0.1113,5,10
95,2,P4,0.21,0.422,0.422,1.192,0.111,1.081,0.69184005,0.9647877,0.1113,5,10
96,1,P7,0.3,0.253,0.253,7.3106,0.203,7.1076,5.572358,3.637476,0.2028,5,10
96,2,P7,0.3,0.606,0.606,7.3106,0.203,7.1076,5.572358,3.637476,0.2028,5,10
97,1,P7,0.3,0.253,0.253,7.3106,0.203,7.1076,5.572358,3.9638329,0.2028,5,10
97,2,P7,0.3,0.606,0.606,7.3106,0.203,7.1076,5.572358,3.9638329,0.2028,5,10
98,1,P1,0.16,0.111,0.111,0.0669,0.061,0.0059000000000000025,0.0023599998,-0.70070595,0.0611,5,10
98,2,P4,0.21,0.372,0.372,1.192,0.111,1.081,0.69184005,-1.1816862,0.1113,5,10
98,3,P4,0.21,0.633,0.633,1.192,0.111,1.081,0.69184005,-1.1816862,0.1113,5,10
99,1,P9,0.4,0.352,0.352,9.5257,0.302,9.223700000000001,5.9031677,6.532725,0.3025,5,10
99,2,P9,0.4,0.804,0.804,9.5257,0.302,9.223700000000001,5.9031677,6.532725,0.3025,5,10
0,1,P6,0.27,0.216,0.216,10.0,0.166,9.834,7.709856,8.91718,0.166,5,20
0,2,P6,0.27,0.532,0.532,10.0,0.166,9.834,7.709856,8.91718,0.166,5,20
